report_month,churn,gain,total,registrations
2009-01-01,0.0,24.0,0.0,11946
2009-02-01,2.0,14.0,24.0,12049
2009-03-01,3.0,4.0,36.0,11697
2009-04-01,3.0,4.0,37.0,9582
2009-05-01,2.0,3.0,38.0,10052
2009-06-01,5.0,2.0,39.0,10516
2009-07-01,0.0,8.0,36.0,10965
2009-08-01,2.0,3.0,44.0,12644
2009-09-01,4.0,4.0,45.0,13683
2009-10-01,0.0,7.0,45.0,15720
2009-11-01,1.0,4.0,52.0,17407
2009-12-01,1.0,7.0,55.0,18521
2010-01-01,3.0,10.0,61.0,20194
2010-02-01,6.0,2.0,68.0,27691
2010-03-01,2.0,3.0,64.0,28003
2010-04-01,2.0,5.0,65.0,26171
2010-05-01,0.0,8.0,68.0,21521
2010-06-01,4.0,3.0,76.0,18772
2010-07-01,4.0,11.0,75.0,20724
2010-08-01,5.0,14.0,82.0,24741
2010-09-01,5.0,6.0,91.0,26227
2010-10-01,6.0,7.0,92.0,24884
2010-11-01,4.0,3.0,93.0,25130
2010-12-01,2.0,10.0,92.0,31330
2011-01-01,6.0,12.0,100.0,34119
2011-02-01,5.0,14.0,106.0,30867
2011-03-01,4.0,9.0,115.0,27350
2011-04-01,5.0,14.0,120.0,24588
2011-05-01,8.0,9.0,129.0,26315
2011-06-01,4.0,10.0,130.0,28520
2011-07-01,5.0,10.0,136.0,32643
2011-08-01,11.0,12.0,141.0,34766
2011-09-01,4.0,17.0,142.0,30021
2011-10-01,7.0,12.0,155.0,31561
2011-11-01,10.0,14.0,160.0,35704
2011-12-01,10.0,21.0,164.0,42856
2012-01-01,6.0,18.0,175.0,39244
2012-02-01,14.0,19.0,187.0,36608
2012-03-01,14.0,22.0,192.0,38298
2012-04-01,6.0,23.0,200.0,36720
2012-05-01,8.0,27.0,217.0,34372
2012-06-01,15.0,16.0,236.0,32643
2012-07-01,14.0,20.0,237.0,35163
2012-08-01,12.0,19.0,243.0,38881
2012-09-01,11.0,19.0,250.0,40569
2012-10-01,11.0,18.0,258.0,44195
2012-11-01,16.0,23.0,265.0,46079
2012-12-01,24.0,24.0,272.0,51167
2013-01-01,25.0,29.0,272.0,52855
2013-02-01,16.0,21.0,276.0,42504
2013-03-01,16.0,44.0,281.0,48149
2013-04-01,16.0,18.0,309.0,45738
2013-05-01,20.0,32.0,311.0,49651
2013-06-01,14.0,31.0,323.0,53733
2013-07-01,19.0,25.0,340.0,47733
2013-08-01,17.0,30.0,346.0,46860
2013-09-01,17.0,33.0,359.0,45763
2013-10-01,26.0,39.0,375.0,52572
2013-11-01,22.0,47.0,388.0,114909
2013-12-01,24.0,65.0,413.0,81300
2014-01-01,28.0,71.0,454.0,72287
2014-02-01,24.0,57.0,497.0,60622
2014-03-01,27.0,60.0,530.0,62300
2014-04-01,32.0,61.0,563.0,59404
2014-05-01,43.0,45.0,592.0,55684
2014-06-01,32.0,32.0,594.0,49711
